#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: ip.endToEnd.packet.incoming.delay
#  Description: End-to-End Packet Delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0022000
#  Maximum: 0.0028436
#  Trials: 422
#  Mean: 0.0023270
# 
#  Variance: 0.0000000
#  Relative variance: 0.0033787
#  Coefficient of variation: 0.0581264
#  Standard deviation: 0.0001353
#  Relative standard deviation: 0.0581264
# 
#  Skewness: 0.4569560
# 
#  2nd moment: 0.0000054
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.9820064
#  (Sum of all values)^2: 0.0022929
#  (Sum of all values)^3: 0.0000054
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0020084
#  P02: 0.0020169
#  P03: 0.0020253
#  P04: 0.0020337
#  P05: 0.0020422
#  P06: 0.0020506
#  P07: 0.0020591
#  P08: 0.0020675
#  P09: 0.0020759
#  P10: 0.0020844
#  P11: 0.0020928
#  P12: 0.0021012
#  P13: 0.0021097
#  P14: 0.0021181
#  P15: 0.0021265
#  P16: 0.0021350
#  P17: 0.0021434
#  P18: 0.0021518
#  P19: 0.0021603
#  P20: 0.0021687
#  P21: 0.0021772
#  P22: 0.0021856
#  P23: 0.0021940
#  P24: 0.0022025
#  P25: 0.0022109
#  P26: 0.0022193
#  P27: 0.0022278
#  P28: 0.0022362
#  P29: 0.0022446
#  P30: 0.0022531
#  P31: 0.0022615
#  P32: 0.0022699
#  P33: 0.0022784
#  P34: 0.0022868
#  P35: 0.0022953
#  P36: 0.0023037
#  P37: 0.0023121
#  P38: 0.0023206
#  P39: 0.0023290
#  P40: 0.0023374
#  P41: 0.0023459
#  P42: 0.0023543
#  P43: 0.0023627
#  P44: 0.0023712
#  P45: 0.0023796
#  P46: 0.0023880
#  P47: 0.0023965
#  P48: 0.0024049
#  P49: 0.0024134
#  P50: 0.0024218
#  P51: 0.0024302
#  P52: 0.0024387
#  P53: 0.0024471
#  P54: 0.0024555
#  P55: 0.0024640
#  P56: 0.0024724
#  P57: 0.0024808
#  P58: 0.0024893
#  P59: 0.0024977
#  P60: 0.0025061
#  P61: 0.0025146
#  P62: 0.0025230
#  P63: 0.0025315
#  P64: 0.0025399
#  P65: 0.0025483
#  P66: 0.0025568
#  P67: 0.0025652
#  P68: 0.0025736
#  P69: 0.0025821
#  P70: 0.0025905
#  P71: 0.0025989
#  P72: 0.0026074
#  P73: 0.0026158
#  P74: 0.0026242
#  P75: 0.0026327
#  P76: 0.0026411
#  P77: 0.0026496
#  P78: 0.0026580
#  P79: 0.0026664
#  P80: 0.0026749
#  P81: 0.0026833
#  P82: 0.0026917
#  P83: 0.0027002
#  P84: 0.0027086
#  P85: 0.0027170
#  P86: 0.0027255
#  P87: 0.0027339
#  P88: 0.0027423
#  P89: 0.0027508
#  P90: 0.0027592
#  P91: 0.0027677
#  P92: 0.0027761
#  P93: 0.0027845
#  P94: 0.0027930
#  P95: 0.0028014
#  P96: 0.0028098
#  P97: 0.0028183
#  P98: 0.0028267
#  P99: 0.0028351
#  P100: 0.0028436
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0010000           0.0000000       1.0000000       0.0000000     1
0.0020000           0.0000000       1.0000000       0.0000000     2
0.0030000           1.0000000       0.0000000       1.0000000     3
0.0040000           1.0000000       0.0000000       0.0000000     4
0.0050000           1.0000000       0.0000000       0.0000000     5
0.0060000           1.0000000       0.0000000       0.0000000     6
0.0070000           1.0000000       0.0000000       0.0000000     7
0.0080000           1.0000000       0.0000000       0.0000000     8
0.0090000           1.0000000       0.0000000       0.0000000     9
0.0100000           1.0000000       0.0000000       0.0000000    10
0.0110000           1.0000000       0.0000000       0.0000000    11
0.0120000           1.0000000       0.0000000       0.0000000    12
0.0130000           1.0000000       0.0000000       0.0000000    13
0.0140000           1.0000000       0.0000000       0.0000000    14
0.0150000           1.0000000       0.0000000       0.0000000    15
0.0160000           1.0000000       0.0000000       0.0000000    16
0.0170000           1.0000000       0.0000000       0.0000000    17
0.0180000           1.0000000       0.0000000       0.0000000    18
0.0190000           1.0000000       0.0000000       0.0000000    19
0.0200000           1.0000000       0.0000000       0.0000000    20
0.0210000           1.0000000       0.0000000       0.0000000    21
0.0220000           1.0000000       0.0000000       0.0000000    22
0.0230000           1.0000000       0.0000000       0.0000000    23
0.0240000           1.0000000       0.0000000       0.0000000    24
0.0250000           1.0000000       0.0000000       0.0000000    25
0.0260000           1.0000000       0.0000000       0.0000000    26
0.0270000           1.0000000       0.0000000       0.0000000    27
0.0280000           1.0000000       0.0000000       0.0000000    28
0.0290000           1.0000000       0.0000000       0.0000000    29
0.0300000           1.0000000       0.0000000       0.0000000    30
0.0310000           1.0000000       0.0000000       0.0000000    31
0.0320000           1.0000000       0.0000000       0.0000000    32
0.0330000           1.0000000       0.0000000       0.0000000    33
0.0340000           1.0000000       0.0000000       0.0000000    34
0.0350000           1.0000000       0.0000000       0.0000000    35
0.0360000           1.0000000       0.0000000       0.0000000    36
0.0370000           1.0000000       0.0000000       0.0000000    37
0.0380000           1.0000000       0.0000000       0.0000000    38
0.0390000           1.0000000       0.0000000       0.0000000    39
0.0400000           1.0000000       0.0000000       0.0000000    40
0.0410000           1.0000000       0.0000000       0.0000000    41
0.0420000           1.0000000       0.0000000       0.0000000    42
0.0430000           1.0000000       0.0000000       0.0000000    43
0.0440000           1.0000000       0.0000000       0.0000000    44
0.0450000           1.0000000       0.0000000       0.0000000    45
0.0460000           1.0000000       0.0000000       0.0000000    46
0.0470000           1.0000000       0.0000000       0.0000000    47
0.0480000           1.0000000       0.0000000       0.0000000    48
0.0490000           1.0000000       0.0000000       0.0000000    49
0.0500000           1.0000000       0.0000000       0.0000000    50
0.0510000           1.0000000       0.0000000       0.0000000    51
0.0520000           1.0000000       0.0000000       0.0000000    52
0.0530000           1.0000000       0.0000000       0.0000000    53
0.0540000           1.0000000       0.0000000       0.0000000    54
0.0550000           1.0000000       0.0000000       0.0000000    55
0.0560000           1.0000000       0.0000000       0.0000000    56
0.0570000           1.0000000       0.0000000       0.0000000    57
0.0580000           1.0000000       0.0000000       0.0000000    58
0.0590000           1.0000000       0.0000000       0.0000000    59
0.0600000           1.0000000       0.0000000       0.0000000    60
0.0610000           1.0000000       0.0000000       0.0000000    61
0.0620000           1.0000000       0.0000000       0.0000000    62
0.0630000           1.0000000       0.0000000       0.0000000    63
0.0640000           1.0000000       0.0000000       0.0000000    64
0.0650000           1.0000000       0.0000000       0.0000000    65
0.0660000           1.0000000       0.0000000       0.0000000    66
0.0670000           1.0000000       0.0000000       0.0000000    67
0.0680000           1.0000000       0.0000000       0.0000000    68
0.0690000           1.0000000       0.0000000       0.0000000    69
0.0700000           1.0000000       0.0000000       0.0000000    70
