#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: wifimac.hop.packet.incoming.delay
#  Description: Incoming packet delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0022000
#  Maximum: 0.0022000
#  Trials: 211
#  Mean: 0.0022000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000048
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.4642000
#  (Sum of all values)^2: 0.0010212
#  (Sum of all values)^3: 0.0000022
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0020020
#  P02: 0.0020040
#  P03: 0.0020060
#  P04: 0.0020080
#  P05: 0.0020100
#  P06: 0.0020120
#  P07: 0.0020140
#  P08: 0.0020160
#  P09: 0.0020180
#  P10: 0.0020200
#  P11: 0.0020220
#  P12: 0.0020240
#  P13: 0.0020260
#  P14: 0.0020280
#  P15: 0.0020300
#  P16: 0.0020320
#  P17: 0.0020340
#  P18: 0.0020360
#  P19: 0.0020380
#  P20: 0.0020400
#  P21: 0.0020420
#  P22: 0.0020440
#  P23: 0.0020460
#  P24: 0.0020480
#  P25: 0.0020500
#  P26: 0.0020520
#  P27: 0.0020540
#  P28: 0.0020560
#  P29: 0.0020580
#  P30: 0.0020600
#  P31: 0.0020620
#  P32: 0.0020640
#  P33: 0.0020660
#  P34: 0.0020680
#  P35: 0.0020700
#  P36: 0.0020720
#  P37: 0.0020740
#  P38: 0.0020760
#  P39: 0.0020780
#  P40: 0.0020800
#  P41: 0.0020820
#  P42: 0.0020840
#  P43: 0.0020860
#  P44: 0.0020880
#  P45: 0.0020900
#  P46: 0.0020920
#  P47: 0.0020940
#  P48: 0.0020960
#  P49: 0.0020980
#  P50: 0.0021000
#  P51: 0.0021020
#  P52: 0.0021040
#  P53: 0.0021060
#  P54: 0.0021080
#  P55: 0.0021100
#  P56: 0.0021120
#  P57: 0.0021140
#  P58: 0.0021160
#  P59: 0.0021180
#  P60: 0.0021200
#  P61: 0.0021220
#  P62: 0.0021240
#  P63: 0.0021260
#  P64: 0.0021280
#  P65: 0.0021300
#  P66: 0.0021320
#  P67: 0.0021340
#  P68: 0.0021360
#  P69: 0.0021380
#  P70: 0.0021400
#  P71: 0.0021420
#  P72: 0.0021440
#  P73: 0.0021460
#  P74: 0.0021480
#  P75: 0.0021500
#  P76: 0.0021520
#  P77: 0.0021540
#  P78: 0.0021560
#  P79: 0.0021580
#  P80: 0.0021600
#  P81: 0.0021620
#  P82: 0.0021640
#  P83: 0.0021660
#  P84: 0.0021680
#  P85: 0.0021700
#  P86: 0.0021720
#  P87: 0.0021740
#  P88: 0.0021760
#  P89: 0.0021780
#  P90: 0.0021800
#  P91: 0.0021820
#  P92: 0.0021840
#  P93: 0.0021860
#  P94: 0.0021880
#  P95: 0.0021900
#  P96: 0.0021920
#  P97: 0.0021940
#  P98: 0.0021960
#  P99: 0.0021980
#  P100: 0.0022000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0010000           0.0000000       1.0000000       0.0000000     1
0.0020000           0.0000000       1.0000000       0.0000000     2
0.0030000           1.0000000       0.0000000       1.0000000     3
0.0040000           1.0000000       0.0000000       0.0000000     4
0.0050000           1.0000000       0.0000000       0.0000000     5
0.0060000           1.0000000       0.0000000       0.0000000     6
0.0070000           1.0000000       0.0000000       0.0000000     7
0.0080000           1.0000000       0.0000000       0.0000000     8
0.0090000           1.0000000       0.0000000       0.0000000     9
0.0100000           1.0000000       0.0000000       0.0000000    10
0.0110000           1.0000000       0.0000000       0.0000000    11
0.0120000           1.0000000       0.0000000       0.0000000    12
0.0130000           1.0000000       0.0000000       0.0000000    13
0.0140000           1.0000000       0.0000000       0.0000000    14
0.0150000           1.0000000       0.0000000       0.0000000    15
0.0160000           1.0000000       0.0000000       0.0000000    16
0.0170000           1.0000000       0.0000000       0.0000000    17
0.0180000           1.0000000       0.0000000       0.0000000    18
0.0190000           1.0000000       0.0000000       0.0000000    19
0.0200000           1.0000000       0.0000000       0.0000000    20
0.0210000           1.0000000       0.0000000       0.0000000    21
0.0220000           1.0000000       0.0000000       0.0000000    22
0.0230000           1.0000000       0.0000000       0.0000000    23
0.0240000           1.0000000       0.0000000       0.0000000    24
0.0250000           1.0000000       0.0000000       0.0000000    25
0.0260000           1.0000000       0.0000000       0.0000000    26
0.0270000           1.0000000       0.0000000       0.0000000    27
0.0280000           1.0000000       0.0000000       0.0000000    28
0.0290000           1.0000000       0.0000000       0.0000000    29
0.0300000           1.0000000       0.0000000       0.0000000    30
0.0310000           1.0000000       0.0000000       0.0000000    31
0.0320000           1.0000000       0.0000000       0.0000000    32
0.0330000           1.0000000       0.0000000       0.0000000    33
0.0340000           1.0000000       0.0000000       0.0000000    34
0.0350000           1.0000000       0.0000000       0.0000000    35
0.0360000           1.0000000       0.0000000       0.0000000    36
0.0370000           1.0000000       0.0000000       0.0000000    37
0.0380000           1.0000000       0.0000000       0.0000000    38
0.0390000           1.0000000       0.0000000       0.0000000    39
0.0400000           1.0000000       0.0000000       0.0000000    40
0.0410000           1.0000000       0.0000000       0.0000000    41
0.0420000           1.0000000       0.0000000       0.0000000    42
0.0430000           1.0000000       0.0000000       0.0000000    43
0.0440000           1.0000000       0.0000000       0.0000000    44
0.0450000           1.0000000       0.0000000       0.0000000    45
0.0460000           1.0000000       0.0000000       0.0000000    46
0.0470000           1.0000000       0.0000000       0.0000000    47
0.0480000           1.0000000       0.0000000       0.0000000    48
0.0490000           1.0000000       0.0000000       0.0000000    49
0.0500000           1.0000000       0.0000000       0.0000000    50
0.0510000           1.0000000       0.0000000       0.0000000    51
0.0520000           1.0000000       0.0000000       0.0000000    52
0.0530000           1.0000000       0.0000000       0.0000000    53
0.0540000           1.0000000       0.0000000       0.0000000    54
0.0550000           1.0000000       0.0000000       0.0000000    55
0.0560000           1.0000000       0.0000000       0.0000000    56
0.0570000           1.0000000       0.0000000       0.0000000    57
0.0580000           1.0000000       0.0000000       0.0000000    58
0.0590000           1.0000000       0.0000000       0.0000000    59
0.0600000           1.0000000       0.0000000       0.0000000    60
0.0610000           1.0000000       0.0000000       0.0000000    61
0.0620000           1.0000000       0.0000000       0.0000000    62
0.0630000           1.0000000       0.0000000       0.0000000    63
0.0640000           1.0000000       0.0000000       0.0000000    64
0.0650000           1.0000000       0.0000000       0.0000000    65
0.0660000           1.0000000       0.0000000       0.0000000    66
0.0670000           1.0000000       0.0000000       0.0000000    67
0.0680000           1.0000000       0.0000000       0.0000000    68
0.0690000           1.0000000       0.0000000       0.0000000    69
0.0700000           1.0000000       0.0000000       0.0000000    70
