#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: wifimac.hol.packet.delay.detail
#  Description: Packet service time [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0015700
#  Maximum: 0.5077870
#  Trials: 594
#  Mean: 0.0149808
# 
#  Variance: 0.0009915
#  Relative variance: 4.4180128
#  Coefficient of variation: 2.1019069
#  Standard deviation: 0.0314883
#  Relative standard deviation: 2.1019069
# 
#  Skewness: 8.7509785
# 
#  2nd moment: 0.0012143
#  3rd moment: 0.0003211
# 
#  Sum of all values: 8.8986159
#  (Sum of all values)^2: 0.7212767
#  (Sum of all values)^3: 0.1907118
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.001
#  Resolution of x-axis: 1000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 594
#  Overflows in percent: 1
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: NaN
#  P11: NaN
#  P12: NaN
#  P13: NaN
#  P14: NaN
#  P15: NaN
#  P16: NaN
#  P17: NaN
#  P18: NaN
#  P19: NaN
#  P20: NaN
#  P21: NaN
#  P22: NaN
#  P23: NaN
#  P24: NaN
#  P25: NaN
#  P26: NaN
#  P27: NaN
#  P28: NaN
#  P29: NaN
#  P30: NaN
#  P31: NaN
#  P32: NaN
#  P33: NaN
#  P34: NaN
#  P35: NaN
#  P36: NaN
#  P37: NaN
#  P38: NaN
#  P39: NaN
#  P40: NaN
#  P41: NaN
#  P42: NaN
#  P43: NaN
#  P44: NaN
#  P45: NaN
#  P46: NaN
#  P47: NaN
#  P48: NaN
#  P49: NaN
#  P50: NaN
#  P51: NaN
#  P52: NaN
#  P53: NaN
#  P54: NaN
#  P55: NaN
#  P56: NaN
#  P57: NaN
#  P58: NaN
#  P59: NaN
#  P60: NaN
#  P61: NaN
#  P62: NaN
#  P63: NaN
#  P64: NaN
#  P65: NaN
#  P66: NaN
#  P67: NaN
#  P68: NaN
#  P69: NaN
#  P70: NaN
#  P71: NaN
#  P72: NaN
#  P73: NaN
#  P74: NaN
#  P75: NaN
#  P76: NaN
#  P77: NaN
#  P78: NaN
#  P79: NaN
#  P80: NaN
#  P81: NaN
#  P82: NaN
#  P83: NaN
#  P84: NaN
#  P85: NaN
#  P86: NaN
#  P87: NaN
#  P88: NaN
#  P89: NaN
#  P90: NaN
#  P91: NaN
#  P92: NaN
#  P93: NaN
#  P94: NaN
#  P95: NaN
#  P96: NaN
#  P97: NaN
#  P98: NaN
#  P99: NaN
#  P100: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0000010           0.0000000       1.0000000       0.0000000     1
0.0000020           0.0000000       1.0000000       0.0000000     2
0.0000030           0.0000000       1.0000000       0.0000000     3
0.0000040           0.0000000       1.0000000       0.0000000     4
0.0000050           0.0000000       1.0000000       0.0000000     5
0.0000060           0.0000000       1.0000000       0.0000000     6
0.0000070           0.0000000       1.0000000       0.0000000     7
0.0000080           0.0000000       1.0000000       0.0000000     8
0.0000090           0.0000000       1.0000000       0.0000000     9
0.0000100           0.0000000       1.0000000       0.0000000    10
0.0000110           0.0000000       1.0000000       0.0000000    11
0.0000120           0.0000000       1.0000000       0.0000000    12
0.0000130           0.0000000       1.0000000       0.0000000    13
0.0000140           0.0000000       1.0000000       0.0000000    14
0.0000150           0.0000000       1.0000000       0.0000000    15
0.0000160           0.0000000       1.0000000       0.0000000    16
0.0000170           0.0000000       1.0000000       0.0000000    17
0.0000180           0.0000000       1.0000000       0.0000000    18
0.0000190           0.0000000       1.0000000       0.0000000    19
0.0000200           0.0000000       1.0000000       0.0000000    20
0.0000210           0.0000000       1.0000000       0.0000000    21
0.0000220           0.0000000       1.0000000       0.0000000    22
0.0000230           0.0000000       1.0000000       0.0000000    23
0.0000240           0.0000000       1.0000000       0.0000000    24
0.0000250           0.0000000       1.0000000       0.0000000    25
0.0000260           0.0000000       1.0000000       0.0000000    26
0.0000270           0.0000000       1.0000000       0.0000000    27
0.0000280           0.0000000       1.0000000       0.0000000    28
0.0000290           0.0000000       1.0000000       0.0000000    29
0.0000300           0.0000000       1.0000000       0.0000000    30
0.0000310           0.0000000       1.0000000       0.0000000    31
0.0000320           0.0000000       1.0000000       0.0000000    32
0.0000330           0.0000000       1.0000000       0.0000000    33
0.0000340           0.0000000       1.0000000       0.0000000    34
0.0000350           0.0000000       1.0000000       0.0000000    35
0.0000360           0.0000000       1.0000000       0.0000000    36
0.0000370           0.0000000       1.0000000       0.0000000    37
0.0000380           0.0000000       1.0000000       0.0000000    38
0.0000390           0.0000000       1.0000000       0.0000000    39
0.0000400           0.0000000       1.0000000       0.0000000    40
0.0000410           0.0000000       1.0000000       0.0000000    41
0.0000420           0.0000000       1.0000000       0.0000000    42
0.0000430           0.0000000       1.0000000       0.0000000    43
0.0000440           0.0000000       1.0000000       0.0000000    44
0.0000450           0.0000000       1.0000000       0.0000000    45
0.0000460           0.0000000       1.0000000       0.0000000    46
0.0000470           0.0000000       1.0000000       0.0000000    47
0.0000480           0.0000000       1.0000000       0.0000000    48
0.0000490           0.0000000       1.0000000       0.0000000    49
0.0000500           0.0000000       1.0000000       0.0000000    50
0.0000510           0.0000000       1.0000000       0.0000000    51
0.0000520           0.0000000       1.0000000       0.0000000    52
0.0000530           0.0000000       1.0000000       0.0000000    53
0.0000540           0.0000000       1.0000000       0.0000000    54
0.0000550           0.0000000       1.0000000       0.0000000    55
0.0000560           0.0000000       1.0000000       0.0000000    56
0.0000570           0.0000000       1.0000000       0.0000000    57
0.0000580           0.0000000       1.0000000       0.0000000    58
