#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: wifimac.e2e.packet.incoming.delay
#  Description: Incoming packet delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0111237
#  Maximum: 0.0170816
#  Trials: 365
#  Mean: 0.0140468
# 
#  Variance: 0.0000014
#  Relative variance: 0.0072912
#  Coefficient of variation: 0.0853886
#  Standard deviation: 0.0011994
#  Relative standard deviation: 0.0853886
# 
#  Skewness: 0.1837901
# 
#  2nd moment: 0.0001987
#  3rd moment: 0.0000028
# 
#  Sum of all values: 5.1270844
#  (Sum of all values)^2: 0.0725428
#  (Sum of all values)^3: 0.0010338
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0112607
#  P02: 0.0115214
#  P03: 0.0117821
#  P04: 0.0120109
#  P05: 0.0120773
#  P06: 0.0121436
#  P07: 0.0122100
#  P08: 0.0122764
#  P09: 0.0123427
#  P10: 0.0124091
#  P11: 0.0124755
#  P12: 0.0125418
#  P13: 0.0126082
#  P14: 0.0126745
#  P15: 0.0127409
#  P16: 0.0128073
#  P17: 0.0128736
#  P18: 0.0129400
#  P19: 0.0130028
#  P20: 0.0130325
#  P21: 0.0130622
#  P22: 0.0130919
#  P23: 0.0131215
#  P24: 0.0131512
#  P25: 0.0131809
#  P26: 0.0132106
#  P27: 0.0132402
#  P28: 0.0132699
#  P29: 0.0132996
#  P30: 0.0133293
#  P31: 0.0133589
#  P32: 0.0133886
#  P33: 0.0134183
#  P34: 0.0134480
#  P35: 0.0134776
#  P36: 0.0135073
#  P37: 0.0135370
#  P38: 0.0135667
#  P39: 0.0135963
#  P40: 0.0136260
#  P41: 0.0136557
#  P42: 0.0136854
#  P43: 0.0137150
#  P44: 0.0137447
#  P45: 0.0137744
#  P46: 0.0138041
#  P47: 0.0138337
#  P48: 0.0138634
#  P49: 0.0138931
#  P50: 0.0139228
#  P51: 0.0139524
#  P52: 0.0139821
#  P53: 0.0140163
#  P54: 0.0140573
#  P55: 0.0140983
#  P56: 0.0141393
#  P57: 0.0141803
#  P58: 0.0142213
#  P59: 0.0142624
#  P60: 0.0143034
#  P61: 0.0143444
#  P62: 0.0143854
#  P63: 0.0144264
#  P64: 0.0144674
#  P65: 0.0145084
#  P66: 0.0145494
#  P67: 0.0145904
#  P68: 0.0146315
#  P69: 0.0146725
#  P70: 0.0147135
#  P71: 0.0147545
#  P72: 0.0147955
#  P73: 0.0148365
#  P74: 0.0148775
#  P75: 0.0149185
#  P76: 0.0149596
#  P77: 0.0150008
#  P78: 0.0150578
#  P79: 0.0151148
#  P80: 0.0151719
#  P81: 0.0152289
#  P82: 0.0152859
#  P83: 0.0153430
#  P84: 0.0154000
#  P85: 0.0154570
#  P86: 0.0155141
#  P87: 0.0155711
#  P88: 0.0156281
#  P89: 0.0156852
#  P90: 0.0157422
#  P91: 0.0157992
#  P92: 0.0158562
#  P93: 0.0159133
#  P94: 0.0159703
#  P95: 0.0160921
#  P96: 0.0162842
#  P97: 0.0164763
#  P98: 0.0166684
#  P99: 0.0168605
#  P100: 0.0170816
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0010000           0.0000000       1.0000000       0.0000000     1
0.0020000           0.0000000       1.0000000       0.0000000     2
0.0030000           0.0000000       1.0000000       0.0000000     3
0.0040000           0.0000000       1.0000000       0.0000000     4
0.0050000           0.0000000       1.0000000       0.0000000     5
0.0060000           0.0000000       1.0000000       0.0000000     6
0.0070000           0.0000000       1.0000000       0.0000000     7
0.0080000           0.0000000       1.0000000       0.0000000     8
0.0090000           0.0000000       1.0000000       0.0000000     9
0.0100000           0.0000000       1.0000000       0.0000000    10
0.0110000           0.0000000       1.0000000       0.0000000    11
0.0120000           0.0383562       0.9616438       0.0383562    12
0.0130000           0.1890411       0.8109589       0.1506849    13
0.0140000           0.5260274       0.4739726       0.3369863    14
0.0150000           0.7698630       0.2301370       0.2438356    15
0.0160000           0.9452055       0.0547945       0.1753425    16
0.0170000           0.9972603       0.0027397       0.0520548    17
0.0180000           1.0000000       0.0000000       0.0027397    18
0.0190000           1.0000000       0.0000000       0.0000000    19
0.0200000           1.0000000       0.0000000       0.0000000    20
0.0210000           1.0000000       0.0000000       0.0000000    21
0.0220000           1.0000000       0.0000000       0.0000000    22
0.0230000           1.0000000       0.0000000       0.0000000    23
0.0240000           1.0000000       0.0000000       0.0000000    24
0.0250000           1.0000000       0.0000000       0.0000000    25
0.0260000           1.0000000       0.0000000       0.0000000    26
0.0270000           1.0000000       0.0000000       0.0000000    27
0.0280000           1.0000000       0.0000000       0.0000000    28
0.0290000           1.0000000       0.0000000       0.0000000    29
0.0300000           1.0000000       0.0000000       0.0000000    30
0.0310000           1.0000000       0.0000000       0.0000000    31
0.0320000           1.0000000       0.0000000       0.0000000    32
0.0330000           1.0000000       0.0000000       0.0000000    33
0.0340000           1.0000000       0.0000000       0.0000000    34
0.0350000           1.0000000       0.0000000       0.0000000    35
0.0360000           1.0000000       0.0000000       0.0000000    36
0.0370000           1.0000000       0.0000000       0.0000000    37
0.0380000           1.0000000       0.0000000       0.0000000    38
0.0390000           1.0000000       0.0000000       0.0000000    39
0.0400000           1.0000000       0.0000000       0.0000000    40
0.0410000           1.0000000       0.0000000       0.0000000    41
0.0420000           1.0000000       0.0000000       0.0000000    42
0.0430000           1.0000000       0.0000000       0.0000000    43
0.0440000           1.0000000       0.0000000       0.0000000    44
0.0450000           1.0000000       0.0000000       0.0000000    45
0.0460000           1.0000000       0.0000000       0.0000000    46
0.0470000           1.0000000       0.0000000       0.0000000    47
0.0480000           1.0000000       0.0000000       0.0000000    48
0.0490000           1.0000000       0.0000000       0.0000000    49
0.0500000           1.0000000       0.0000000       0.0000000    50
0.0510000           1.0000000       0.0000000       0.0000000    51
0.0520000           1.0000000       0.0000000       0.0000000    52
0.0530000           1.0000000       0.0000000       0.0000000    53
0.0540000           1.0000000       0.0000000       0.0000000    54
0.0550000           1.0000000       0.0000000       0.0000000    55
0.0560000           1.0000000       0.0000000       0.0000000    56
0.0570000           1.0000000       0.0000000       0.0000000    57
0.0580000           1.0000000       0.0000000       0.0000000    58
0.0590000           1.0000000       0.0000000       0.0000000    59
0.0600000           1.0000000       0.0000000       0.0000000    60
0.0610000           1.0000000       0.0000000       0.0000000    61
0.0620000           1.0000000       0.0000000       0.0000000    62
0.0630000           1.0000000       0.0000000       0.0000000    63
0.0640000           1.0000000       0.0000000       0.0000000    64
0.0650000           1.0000000       0.0000000       0.0000000    65
0.0660000           1.0000000       0.0000000       0.0000000    66
0.0670000           1.0000000       0.0000000       0.0000000    67
0.0680000           1.0000000       0.0000000       0.0000000    68
0.0690000           1.0000000       0.0000000       0.0000000    69
0.0700000           1.0000000       0.0000000       0.0000000    70
