#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: wifimac.hop.packet.incoming.delay
#  Description: Incoming packet delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0110891
#  Maximum: 0.0173079
#  Trials: 357
#  Mean: 0.0142428
# 
#  Variance: 0.0000019
#  Relative variance: 0.0091323
#  Coefficient of variation: 0.0955629
#  Standard deviation: 0.0013611
#  Relative standard deviation: 0.0955629
# 
#  Skewness: 0.0603893
# 
#  2nd moment: 0.0002047
#  3rd moment: 0.0000030
# 
#  Sum of all values: 5.0846958
#  (Sum of all values)^2: 0.0730800
#  (Sum of all values)^3: 0.0010597
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0112746
#  P02: 0.0115492
#  P03: 0.0118238
#  P04: 0.0120203
#  P05: 0.0120770
#  P06: 0.0121337
#  P07: 0.0121903
#  P08: 0.0122470
#  P09: 0.0123037
#  P10: 0.0123603
#  P11: 0.0124170
#  P12: 0.0124737
#  P13: 0.0125303
#  P14: 0.0125870
#  P15: 0.0126437
#  P16: 0.0127003
#  P17: 0.0127570
#  P18: 0.0128137
#  P19: 0.0128703
#  P20: 0.0129270
#  P21: 0.0129837
#  P22: 0.0130302
#  P23: 0.0130727
#  P24: 0.0131152
#  P25: 0.0131577
#  P26: 0.0132002
#  P27: 0.0132427
#  P28: 0.0132852
#  P29: 0.0133277
#  P30: 0.0133702
#  P31: 0.0134127
#  P32: 0.0134552
#  P33: 0.0134977
#  P34: 0.0135402
#  P35: 0.0135827
#  P36: 0.0136252
#  P37: 0.0136677
#  P38: 0.0137102
#  P39: 0.0137527
#  P40: 0.0137952
#  P41: 0.0138377
#  P42: 0.0138802
#  P43: 0.0139227
#  P44: 0.0139652
#  P45: 0.0140080
#  P46: 0.0140521
#  P47: 0.0140962
#  P48: 0.0141402
#  P49: 0.0141843
#  P50: 0.0142284
#  P51: 0.0142725
#  P52: 0.0143165
#  P53: 0.0143606
#  P54: 0.0144047
#  P55: 0.0144488
#  P56: 0.0144928
#  P57: 0.0145369
#  P58: 0.0145810
#  P59: 0.0146251
#  P60: 0.0146691
#  P61: 0.0147132
#  P62: 0.0147573
#  P63: 0.0148014
#  P64: 0.0148454
#  P65: 0.0148895
#  P66: 0.0149336
#  P67: 0.0149777
#  P68: 0.0150223
#  P69: 0.0150675
#  P70: 0.0151127
#  P71: 0.0151578
#  P72: 0.0152030
#  P73: 0.0152482
#  P74: 0.0152934
#  P75: 0.0153386
#  P76: 0.0153838
#  P77: 0.0154290
#  P78: 0.0154742
#  P79: 0.0155194
#  P80: 0.0155646
#  P81: 0.0156097
#  P82: 0.0156549
#  P83: 0.0157001
#  P84: 0.0157453
#  P85: 0.0157905
#  P86: 0.0158357
#  P87: 0.0158809
#  P88: 0.0159261
#  P89: 0.0159713
#  P90: 0.0160406
#  P91: 0.0161522
#  P92: 0.0162638
#  P93: 0.0163753
#  P94: 0.0164869
#  P95: 0.0165984
#  P96: 0.0167100
#  P97: 0.0168216
#  P98: 0.0169331
#  P99: 0.0170881
#  P100: 0.0173079
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0010000           0.0000000       1.0000000       0.0000000     1
0.0020000           0.0000000       1.0000000       0.0000000     2
0.0030000           0.0000000       1.0000000       0.0000000     3
0.0040000           0.0000000       1.0000000       0.0000000     4
0.0050000           0.0000000       1.0000000       0.0000000     5
0.0060000           0.0000000       1.0000000       0.0000000     6
0.0070000           0.0000000       1.0000000       0.0000000     7
0.0080000           0.0000000       1.0000000       0.0000000     8
0.0090000           0.0000000       1.0000000       0.0000000     9
0.0100000           0.0000000       1.0000000       0.0000000    10
0.0110000           0.0000000       1.0000000       0.0000000    11
0.0120000           0.0364146       0.9635854       0.0364146    12
0.0130000           0.2128852       0.7871148       0.1764706    13
0.0140000           0.4481793       0.5518207       0.2352941    14
0.0150000           0.6750700       0.3249300       0.2268908    15
0.0160000           0.8963585       0.1036415       0.2212885    16
0.0170000           0.9859944       0.0140056       0.0896359    17
0.0180000           1.0000000       0.0000000       0.0140056    18
0.0190000           1.0000000       0.0000000       0.0000000    19
0.0200000           1.0000000       0.0000000       0.0000000    20
0.0210000           1.0000000       0.0000000       0.0000000    21
0.0220000           1.0000000       0.0000000       0.0000000    22
0.0230000           1.0000000       0.0000000       0.0000000    23
0.0240000           1.0000000       0.0000000       0.0000000    24
0.0250000           1.0000000       0.0000000       0.0000000    25
0.0260000           1.0000000       0.0000000       0.0000000    26
0.0270000           1.0000000       0.0000000       0.0000000    27
0.0280000           1.0000000       0.0000000       0.0000000    28
0.0290000           1.0000000       0.0000000       0.0000000    29
0.0300000           1.0000000       0.0000000       0.0000000    30
0.0310000           1.0000000       0.0000000       0.0000000    31
0.0320000           1.0000000       0.0000000       0.0000000    32
0.0330000           1.0000000       0.0000000       0.0000000    33
0.0340000           1.0000000       0.0000000       0.0000000    34
0.0350000           1.0000000       0.0000000       0.0000000    35
0.0360000           1.0000000       0.0000000       0.0000000    36
0.0370000           1.0000000       0.0000000       0.0000000    37
0.0380000           1.0000000       0.0000000       0.0000000    38
0.0390000           1.0000000       0.0000000       0.0000000    39
0.0400000           1.0000000       0.0000000       0.0000000    40
0.0410000           1.0000000       0.0000000       0.0000000    41
0.0420000           1.0000000       0.0000000       0.0000000    42
0.0430000           1.0000000       0.0000000       0.0000000    43
0.0440000           1.0000000       0.0000000       0.0000000    44
0.0450000           1.0000000       0.0000000       0.0000000    45
0.0460000           1.0000000       0.0000000       0.0000000    46
0.0470000           1.0000000       0.0000000       0.0000000    47
0.0480000           1.0000000       0.0000000       0.0000000    48
0.0490000           1.0000000       0.0000000       0.0000000    49
0.0500000           1.0000000       0.0000000       0.0000000    50
0.0510000           1.0000000       0.0000000       0.0000000    51
0.0520000           1.0000000       0.0000000       0.0000000    52
0.0530000           1.0000000       0.0000000       0.0000000    53
0.0540000           1.0000000       0.0000000       0.0000000    54
0.0550000           1.0000000       0.0000000       0.0000000    55
0.0560000           1.0000000       0.0000000       0.0000000    56
0.0570000           1.0000000       0.0000000       0.0000000    57
0.0580000           1.0000000       0.0000000       0.0000000    58
0.0590000           1.0000000       0.0000000       0.0000000    59
0.0600000           1.0000000       0.0000000       0.0000000    60
0.0610000           1.0000000       0.0000000       0.0000000    61
0.0620000           1.0000000       0.0000000       0.0000000    62
0.0630000           1.0000000       0.0000000       0.0000000    63
0.0640000           1.0000000       0.0000000       0.0000000    64
0.0650000           1.0000000       0.0000000       0.0000000    65
0.0660000           1.0000000       0.0000000       0.0000000    66
0.0670000           1.0000000       0.0000000       0.0000000    67
0.0680000           1.0000000       0.0000000       0.0000000    68
0.0690000           1.0000000       0.0000000       0.0000000    69
0.0700000           1.0000000       0.0000000       0.0000000    70
