#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: ip.endToEnd.packet.incoming.delay
#  Description: End-to-End Packet Delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0003760
#  Maximum: 0.0011395
#  Trials: 126
#  Mean: 0.0005981
# 
#  Variance: 0.0000001
#  Relative variance: 0.2782488
#  Coefficient of variation: 0.5274929
#  Standard deviation: 0.0003155
#  Relative standard deviation: 0.5274929
# 
#  Skewness: 0.7013762
# 
#  2nd moment: 0.0000005
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0753635
#  (Sum of all values)^2: 0.0000575
#  (Sum of all values)^3: 0.0000001
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0000150
#  P02: 0.0000300
#  P03: 0.0000450
#  P04: 0.0000600
#  P05: 0.0000750
#  P06: 0.0000900
#  P07: 0.0001050
#  P08: 0.0001200
#  P09: 0.0001350
#  P10: 0.0001500
#  P11: 0.0001650
#  P12: 0.0001800
#  P13: 0.0001950
#  P14: 0.0002100
#  P15: 0.0002250
#  P16: 0.0002400
#  P17: 0.0002550
#  P18: 0.0002700
#  P19: 0.0002850
#  P20: 0.0003000
#  P21: 0.0003150
#  P22: 0.0003300
#  P23: 0.0003450
#  P24: 0.0003600
#  P25: 0.0003750
#  P26: 0.0003900
#  P27: 0.0004050
#  P28: 0.0004200
#  P29: 0.0004350
#  P30: 0.0004500
#  P31: 0.0004650
#  P32: 0.0004800
#  P33: 0.0004950
#  P34: 0.0005100
#  P35: 0.0005250
#  P36: 0.0005400
#  P37: 0.0005550
#  P38: 0.0005700
#  P39: 0.0005850
#  P40: 0.0006000
#  P41: 0.0006150
#  P42: 0.0006300
#  P43: 0.0006450
#  P44: 0.0006600
#  P45: 0.0006750
#  P46: 0.0006900
#  P47: 0.0007050
#  P48: 0.0007200
#  P49: 0.0007350
#  P50: 0.0007500
#  P51: 0.0007650
#  P52: 0.0007800
#  P53: 0.0007950
#  P54: 0.0008100
#  P55: 0.0008250
#  P56: 0.0008400
#  P57: 0.0008550
#  P58: 0.0008700
#  P59: 0.0008850
#  P60: 0.0009000
#  P61: 0.0009150
#  P62: 0.0009300
#  P63: 0.0009450
#  P64: 0.0009600
#  P65: 0.0009750
#  P66: 0.0009900
#  P67: 0.0010014
#  P68: 0.0010056
#  P69: 0.0010098
#  P70: 0.0010139
#  P71: 0.0010181
#  P72: 0.0010223
#  P73: 0.0010265
#  P74: 0.0010307
#  P75: 0.0010349
#  P76: 0.0010391
#  P77: 0.0010432
#  P78: 0.0010474
#  P79: 0.0010516
#  P80: 0.0010558
#  P81: 0.0010600
#  P82: 0.0010642
#  P83: 0.0010683
#  P84: 0.0010725
#  P85: 0.0010767
#  P86: 0.0010809
#  P87: 0.0010851
#  P88: 0.0010893
#  P89: 0.0010934
#  P90: 0.0010976
#  P91: 0.0011018
#  P92: 0.0011060
#  P93: 0.0011102
#  P94: 0.0011144
#  P95: 0.0011185
#  P96: 0.0011227
#  P97: 0.0011269
#  P98: 0.0011311
#  P99: 0.0011353
#  P100: 0.0011395
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0010000           0.6666667       0.3333333       0.6666667     1
0.0020000           1.0000000       0.0000000       0.3333333     2
0.0030000           1.0000000       0.0000000       0.0000000     3
0.0040000           1.0000000       0.0000000       0.0000000     4
0.0050000           1.0000000       0.0000000       0.0000000     5
0.0060000           1.0000000       0.0000000       0.0000000     6
0.0070000           1.0000000       0.0000000       0.0000000     7
0.0080000           1.0000000       0.0000000       0.0000000     8
0.0090000           1.0000000       0.0000000       0.0000000     9
0.0100000           1.0000000       0.0000000       0.0000000    10
0.0110000           1.0000000       0.0000000       0.0000000    11
0.0120000           1.0000000       0.0000000       0.0000000    12
0.0130000           1.0000000       0.0000000       0.0000000    13
0.0140000           1.0000000       0.0000000       0.0000000    14
0.0150000           1.0000000       0.0000000       0.0000000    15
0.0160000           1.0000000       0.0000000       0.0000000    16
0.0170000           1.0000000       0.0000000       0.0000000    17
0.0180000           1.0000000       0.0000000       0.0000000    18
0.0190000           1.0000000       0.0000000       0.0000000    19
0.0200000           1.0000000       0.0000000       0.0000000    20
0.0210000           1.0000000       0.0000000       0.0000000    21
0.0220000           1.0000000       0.0000000       0.0000000    22
0.0230000           1.0000000       0.0000000       0.0000000    23
0.0240000           1.0000000       0.0000000       0.0000000    24
0.0250000           1.0000000       0.0000000       0.0000000    25
0.0260000           1.0000000       0.0000000       0.0000000    26
0.0270000           1.0000000       0.0000000       0.0000000    27
0.0280000           1.0000000       0.0000000       0.0000000    28
0.0290000           1.0000000       0.0000000       0.0000000    29
0.0300000           1.0000000       0.0000000       0.0000000    30
0.0310000           1.0000000       0.0000000       0.0000000    31
0.0320000           1.0000000       0.0000000       0.0000000    32
0.0330000           1.0000000       0.0000000       0.0000000    33
0.0340000           1.0000000       0.0000000       0.0000000    34
0.0350000           1.0000000       0.0000000       0.0000000    35
0.0360000           1.0000000       0.0000000       0.0000000    36
0.0370000           1.0000000       0.0000000       0.0000000    37
0.0380000           1.0000000       0.0000000       0.0000000    38
0.0390000           1.0000000       0.0000000       0.0000000    39
0.0400000           1.0000000       0.0000000       0.0000000    40
0.0410000           1.0000000       0.0000000       0.0000000    41
0.0420000           1.0000000       0.0000000       0.0000000    42
0.0430000           1.0000000       0.0000000       0.0000000    43
0.0440000           1.0000000       0.0000000       0.0000000    44
0.0450000           1.0000000       0.0000000       0.0000000    45
0.0460000           1.0000000       0.0000000       0.0000000    46
0.0470000           1.0000000       0.0000000       0.0000000    47
0.0480000           1.0000000       0.0000000       0.0000000    48
0.0490000           1.0000000       0.0000000       0.0000000    49
0.0500000           1.0000000       0.0000000       0.0000000    50
0.0510000           1.0000000       0.0000000       0.0000000    51
0.0520000           1.0000000       0.0000000       0.0000000    52
0.0530000           1.0000000       0.0000000       0.0000000    53
0.0540000           1.0000000       0.0000000       0.0000000    54
0.0550000           1.0000000       0.0000000       0.0000000    55
0.0560000           1.0000000       0.0000000       0.0000000    56
0.0570000           1.0000000       0.0000000       0.0000000    57
0.0580000           1.0000000       0.0000000       0.0000000    58
0.0590000           1.0000000       0.0000000       0.0000000    59
0.0600000           1.0000000       0.0000000       0.0000000    60
0.0610000           1.0000000       0.0000000       0.0000000    61
0.0620000           1.0000000       0.0000000       0.0000000    62
0.0630000           1.0000000       0.0000000       0.0000000    63
0.0640000           1.0000000       0.0000000       0.0000000    64
0.0650000           1.0000000       0.0000000       0.0000000    65
0.0660000           1.0000000       0.0000000       0.0000000    66
0.0670000           1.0000000       0.0000000       0.0000000    67
0.0680000           1.0000000       0.0000000       0.0000000    68
0.0690000           1.0000000       0.0000000       0.0000000    69
0.0700000           1.0000000       0.0000000       0.0000000    70
