#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: no name available
#  Description: no description available
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0024360
#  Maximum: 1.1178320
#  Trials: 120
#  Mean: 0.0740749
# 
#  Variance: 0.0195378
#  Relative variance: 3.5606870
#  Coefficient of variation: 1.8869783
#  Standard deviation: 0.1397776
#  Relative standard deviation: 1.8869783
# 
#  Skewness: 6.7995663
# 
#  2nd moment: 0.0248621
#  3rd moment: 0.0232813
# 
#  Sum of all values: 8.8889825
#  (Sum of all values)^2: 2.9834469
#  (Sum of all values)^3: 2.7937558
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 15
#  Overflows in percent: 0.125
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0022400
#  P05: 0.0042000
#  P50: 0.0540000
#  P95: NaN
#  P99: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0010000           0.0000000       1.0000000       0.0000000     1
0.0020000           0.0000000       1.0000000       0.0000000     2
0.0030000           0.0416667       0.9583333       0.0416667     3
0.0040000           0.0416667       0.9583333       0.0000000     4
0.0050000           0.0833333       0.9166667       0.0416667     5
0.0060000           0.0833333       0.9166667       0.0000000     6
0.0070000           0.1000000       0.9000000       0.0166667     7
0.0080000           0.1000000       0.9000000       0.0000000     8
0.0090000           0.1000000       0.9000000       0.0000000     9
0.0100000           0.1000000       0.9000000       0.0000000    10
0.0110000           0.1000000       0.9000000       0.0000000    11
0.0120000           0.1000000       0.9000000       0.0000000    12
0.0130000           0.1000000       0.9000000       0.0000000    13
0.0140000           0.1000000       0.9000000       0.0000000    14
0.0150000           0.1416667       0.8583333       0.0416667    15
0.0160000           0.1416667       0.8583333       0.0000000    16
0.0170000           0.1833333       0.8166667       0.0416667    17
0.0180000           0.2000000       0.8000000       0.0166667    18
0.0190000           0.2000000       0.8000000       0.0000000    19
0.0200000           0.2000000       0.8000000       0.0000000    20
0.0210000           0.2000000       0.8000000       0.0000000    21
0.0220000           0.2000000       0.8000000       0.0000000    22
0.0230000           0.2000000       0.8000000       0.0000000    23
0.0240000           0.2000000       0.8000000       0.0000000    24
0.0250000           0.2000000       0.8000000       0.0000000    25
