#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: wifimac.hop.packet.incoming.delay
#  Description: Incoming packet delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0003760
#  Maximum: 0.0008153
#  Trials: 126
#  Mean: 0.0004998
# 
#  Variance: 0.0000000
#  Relative variance: 0.1249442
#  Coefficient of variation: 0.3534744
#  Standard deviation: 0.0001767
#  Relative standard deviation: 0.3534744
# 
#  Skewness: 0.7560153
# 
#  2nd moment: 0.0000003
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0629708
#  (Sum of all values)^2: 0.0000354
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0000082
#  P02: 0.0000163
#  P03: 0.0000245
#  P04: 0.0000326
#  P05: 0.0000408
#  P06: 0.0000489
#  P07: 0.0000571
#  P08: 0.0000652
#  P09: 0.0000734
#  P10: 0.0000815
#  P11: 0.0000897
#  P12: 0.0000978
#  P13: 0.0001060
#  P14: 0.0001141
#  P15: 0.0001223
#  P16: 0.0001304
#  P17: 0.0001386
#  P18: 0.0001467
#  P19: 0.0001549
#  P20: 0.0001631
#  P21: 0.0001712
#  P22: 0.0001794
#  P23: 0.0001875
#  P24: 0.0001957
#  P25: 0.0002038
#  P26: 0.0002120
#  P27: 0.0002201
#  P28: 0.0002283
#  P29: 0.0002364
#  P30: 0.0002446
#  P31: 0.0002527
#  P32: 0.0002609
#  P33: 0.0002690
#  P34: 0.0002772
#  P35: 0.0002853
#  P36: 0.0002935
#  P37: 0.0003016
#  P38: 0.0003098
#  P39: 0.0003180
#  P40: 0.0003261
#  P41: 0.0003343
#  P42: 0.0003424
#  P43: 0.0003506
#  P44: 0.0003587
#  P45: 0.0003669
#  P46: 0.0003750
#  P47: 0.0003832
#  P48: 0.0003913
#  P49: 0.0003995
#  P50: 0.0004076
#  P51: 0.0004158
#  P52: 0.0004239
#  P53: 0.0004321
#  P54: 0.0004402
#  P55: 0.0004484
#  P56: 0.0004565
#  P57: 0.0004647
#  P58: 0.0004729
#  P59: 0.0004810
#  P60: 0.0004892
#  P61: 0.0004973
#  P62: 0.0005055
#  P63: 0.0005136
#  P64: 0.0005218
#  P65: 0.0005299
#  P66: 0.0005381
#  P67: 0.0005462
#  P68: 0.0005544
#  P69: 0.0005625
#  P70: 0.0005707
#  P71: 0.0005788
#  P72: 0.0005870
#  P73: 0.0005951
#  P74: 0.0006033
#  P75: 0.0006114
#  P76: 0.0006196
#  P77: 0.0006278
#  P78: 0.0006359
#  P79: 0.0006441
#  P80: 0.0006522
#  P81: 0.0006604
#  P82: 0.0006685
#  P83: 0.0006767
#  P84: 0.0006848
#  P85: 0.0006930
#  P86: 0.0007011
#  P87: 0.0007093
#  P88: 0.0007174
#  P89: 0.0007256
#  P90: 0.0007337
#  P91: 0.0007419
#  P92: 0.0007500
#  P93: 0.0007582
#  P94: 0.0007663
#  P95: 0.0007745
#  P96: 0.0007827
#  P97: 0.0007908
#  P98: 0.0007990
#  P99: 0.0008071
#  P100: 0.0008153
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0010000           1.0000000       0.0000000       1.0000000     1
0.0020000           1.0000000       0.0000000       0.0000000     2
0.0030000           1.0000000       0.0000000       0.0000000     3
0.0040000           1.0000000       0.0000000       0.0000000     4
0.0050000           1.0000000       0.0000000       0.0000000     5
0.0060000           1.0000000       0.0000000       0.0000000     6
0.0070000           1.0000000       0.0000000       0.0000000     7
0.0080000           1.0000000       0.0000000       0.0000000     8
0.0090000           1.0000000       0.0000000       0.0000000     9
0.0100000           1.0000000       0.0000000       0.0000000    10
0.0110000           1.0000000       0.0000000       0.0000000    11
0.0120000           1.0000000       0.0000000       0.0000000    12
0.0130000           1.0000000       0.0000000       0.0000000    13
0.0140000           1.0000000       0.0000000       0.0000000    14
0.0150000           1.0000000       0.0000000       0.0000000    15
0.0160000           1.0000000       0.0000000       0.0000000    16
0.0170000           1.0000000       0.0000000       0.0000000    17
0.0180000           1.0000000       0.0000000       0.0000000    18
0.0190000           1.0000000       0.0000000       0.0000000    19
0.0200000           1.0000000       0.0000000       0.0000000    20
0.0210000           1.0000000       0.0000000       0.0000000    21
0.0220000           1.0000000       0.0000000       0.0000000    22
0.0230000           1.0000000       0.0000000       0.0000000    23
0.0240000           1.0000000       0.0000000       0.0000000    24
0.0250000           1.0000000       0.0000000       0.0000000    25
0.0260000           1.0000000       0.0000000       0.0000000    26
0.0270000           1.0000000       0.0000000       0.0000000    27
0.0280000           1.0000000       0.0000000       0.0000000    28
0.0290000           1.0000000       0.0000000       0.0000000    29
0.0300000           1.0000000       0.0000000       0.0000000    30
0.0310000           1.0000000       0.0000000       0.0000000    31
0.0320000           1.0000000       0.0000000       0.0000000    32
0.0330000           1.0000000       0.0000000       0.0000000    33
0.0340000           1.0000000       0.0000000       0.0000000    34
0.0350000           1.0000000       0.0000000       0.0000000    35
0.0360000           1.0000000       0.0000000       0.0000000    36
0.0370000           1.0000000       0.0000000       0.0000000    37
0.0380000           1.0000000       0.0000000       0.0000000    38
0.0390000           1.0000000       0.0000000       0.0000000    39
0.0400000           1.0000000       0.0000000       0.0000000    40
0.0410000           1.0000000       0.0000000       0.0000000    41
0.0420000           1.0000000       0.0000000       0.0000000    42
0.0430000           1.0000000       0.0000000       0.0000000    43
0.0440000           1.0000000       0.0000000       0.0000000    44
0.0450000           1.0000000       0.0000000       0.0000000    45
0.0460000           1.0000000       0.0000000       0.0000000    46
0.0470000           1.0000000       0.0000000       0.0000000    47
0.0480000           1.0000000       0.0000000       0.0000000    48
0.0490000           1.0000000       0.0000000       0.0000000    49
0.0500000           1.0000000       0.0000000       0.0000000    50
0.0510000           1.0000000       0.0000000       0.0000000    51
0.0520000           1.0000000       0.0000000       0.0000000    52
0.0530000           1.0000000       0.0000000       0.0000000    53
0.0540000           1.0000000       0.0000000       0.0000000    54
0.0550000           1.0000000       0.0000000       0.0000000    55
0.0560000           1.0000000       0.0000000       0.0000000    56
0.0570000           1.0000000       0.0000000       0.0000000    57
0.0580000           1.0000000       0.0000000       0.0000000    58
0.0590000           1.0000000       0.0000000       0.0000000    59
0.0600000           1.0000000       0.0000000       0.0000000    60
0.0610000           1.0000000       0.0000000       0.0000000    61
0.0620000           1.0000000       0.0000000       0.0000000    62
0.0630000           1.0000000       0.0000000       0.0000000    63
0.0640000           1.0000000       0.0000000       0.0000000    64
0.0650000           1.0000000       0.0000000       0.0000000    65
0.0660000           1.0000000       0.0000000       0.0000000    66
0.0670000           1.0000000       0.0000000       0.0000000    67
0.0680000           1.0000000       0.0000000       0.0000000    68
0.0690000           1.0000000       0.0000000       0.0000000    69
0.0700000           1.0000000       0.0000000       0.0000000    70
